API명칭,API ID,EPIC,METHOD,SUB-EPIC,URL,개발 상황,권한,사람,설명,작성완료
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
,,,,,,,,,,No
비밀번호 찾기 인증번호 검증,,인증/회원,POST,인증,/api/auth/password-reset/verify,연동 필요,비회원,종호 윤,비밀번호 재설정 인증번호 검증 및 비밀번호 변경 토큰 발급,No
비밀번호 재설정,,인증/회원,PATCH,인증,/api/auth/password-reset/password,연동 필요,비회원,종호 윤,비밀번호 변경 토큰 검증 후 새 비밀번호 설정,No
회원가입,,인증/회원,POST,인증,/api/auth/signup,연동 필요,비회원,종호 윤,이메일 인증 완료 후 일반 회원 계정 생성,No
아이디 중복 확인,,인증/회원,GET,인증,/api/auth/usernames/exists?username={username},연동 필요,비회원,종호 윤,회원가입 시 아이디 중복 여부 확인,No
잠긴 계정 인증번호 검증,,인증/회원,POST,인증,/api/auth/account-locks/verify,연동 필요,비회원,종호 윤,로그인 5회 실패 후 이메일로 받은 인증번호 검증 및 비밀번호 변경 토큰 발급,No
이메일 중복 확인,,인증/회원,GET,인증,/api/auth/emails/exists?email={email},연동 필요,비회원,종호 윤,회원가입 시 이메일 중복 여부 확인,No
잠긴 계정 비밀번호 변경,,인증/회원,PATCH,인증,/api/auth/account-locks/password,연동 필요,비회원,종호 윤,비밀번호 변경 토큰 검증 후 새 비밀번호 설정 및 계정 잠금 해제,No
이메일 인증번호 발송,,인증/회원,POST,인증,/api/auth/email-verifications,연동 필요,비회원,종호 윤,회원가입 이메일 인증번호 발송,No
비밀번호 변경,,인증/회원,PATCH,인증/회원,/api/members/me/password,연동 필요,회원,종호 윤,현재 비밀번호 확인 후 새 비밀번호로 변경,No
이메일 인증번호 검증,,인증/회원,POST,인증,/api/auth/email-verifications/verify,연동 필요,비회원,종호 윤,회원가입 이메일 인증번호 검증 처리,No
프로필 이미지 수정,,인증/회원,PATCH,인증/회원,/api/members/me/profile-image,연동 필요,회원,종호 윤,프로필 이미지 업로드 및 변경,No
회원 탈퇴,,인증/회원,DELETE,인증/회원,/api/members/me,연동 필요,회원,종호 윤,회원 탈퇴 처리 및 Refresh Token 삭제,No
로그인,,인증/회원,POST,인증,/api/auth/login,연동 필요,비회원,종호 윤,"아이디/비밀번호 검증, 실패 횟수 처리, 성공 시 토큰 발급, 5회 실패 시 계정 잠금 및 인증번호 발송",No
로그아웃,,인증/회원,POST,인증,/api/auth/logout,연동 필요,회원,종호 윤,Refresh Token 삭제 후 로그아웃 처리,No
회원 목록/검색,,관리자,GET,관리자,/api/admin/members?keyword={keyword}&page=0&size=20,연동 필요,관리자,종호 윤,"회원 목록 조회, 아이디/이름/이메일 기준 검색",No
회원 상세 조회,,관리자,GET,관리자,/api/admin/members/{memberId},연동 필요,관리자,종호 윤,특정 회원 상세 정보 조회,No
Access Token 재발급,,인증/회원,POST,인증,/api/auth/tokens/refresh,연동 필요,회원,종호 윤,Refresh Token 검증 후 Access Token 재발급(Refresh Token) 보유자,No
비밀번호 찾기 인증번호 발송,,인증/회원,POST,인증,/api/auth/password-reset/email,연동 필요,비회원,종호 윤,가입 이메일 확인 후 비밀번호 재설정 인증번호 발송,No
회원 상태 변경,,관리자,PATCH,관리자,/api/admin/members/{memberId}/status,연동 필요,관리자,종호 윤,"ACTIVE(정상), COMMUNITY_RESTRICTED(커뮤니티 제한), SUSPENDED(이용 정지), BANNED(영구 정지), WITHDRAWN(탈퇴)",No
