개발 상황,EPIC,SUB-EPIC,API명칭,METHOD,URL,설명,권한,사람,작성완료
연동 필요,인증/회원,인증,회원가입,POST,/api/auth/signup,이메일 인증 완료 후 일반 회원 계정 생성,비회원,종호 윤,No
연동 필요,인증/회원,인증,아이디 중복 확인,GET,/api/auth/usernames/exists?username={username},회원가입 시 아이디 중복 여부 확인,비회원,종호 윤,No
연동 필요,인증/회원,인증,이메일 중복 확인,GET,/api/auth/emails/exists?email={email},회원가입 시 이메일 중복 여부 확인,비회원,종호 윤,No
연동 필요,인증/회원,인증,이메일 인증번호 발송,POST,/api/auth/email-verifications,회원가입 이메일 인증번호 발송,비회원,종호 윤,No
연동 필요,인증/회원,인증,이메일 인증번호 검증,POST,/api/auth/email-verifications/verify,회원가입 이메일 인증번호 검증 처리,비회원,종호 윤,No
연동 필요,인증/회원,인증,로그인,POST,/api/auth/login,"아이디/비밀번호 검증, 실패 횟수 처리, 성공 시 토큰 발급, 5회 실패 시 계정 잠금 및 인증번호 발송",비회원,종호 윤,No
연동 필요,인증/회원,인증,로그아웃,POST,/api/auth/logout,Refresh Token 삭제 후 로그아웃 처리,회원,종호 윤,No
연동 필요,인증/회원,인증,Access Token 재발급,POST,/api/auth/tokens/refresh,Refresh Token 검증 후 Access Token 재발급(Refresh Token) 보유자,회원,종호 윤,No
연동 필요,인증/회원,인증,비밀번호 찾기 인증번호 발송,POST,/api/auth/password-reset/email,가입 이메일 확인 후 비밀번호 재설정 인증번호 발송,비회원,종호 윤,No
연동 필요,인증/회원,인증,비밀번호 찾기 인증번호 검증,POST,/api/auth/password-reset/verify,비밀번호 재설정 인증번호 검증 및 비밀번호 변경 토큰 발급,비회원,종호 윤,No
연동 필요,인증/회원,인증,비밀번호 재설정,PATCH,/api/auth/password-reset/password,비밀번호 변경 토큰 검증 후 새 비밀번호 설정,비회원,종호 윤,No
연동 필요,인증/회원,인증,잠긴 계정 인증번호 검증,POST,/api/auth/account-locks/verify,로그인 5회 실패 후 이메일로 받은 인증번호 검증 및 비밀번호 변경 토큰 발급,비회원,종호 윤,No
연동 필요,인증/회원,인증,잠긴 계정 비밀번호 변경,PATCH,/api/auth/account-locks/password,비밀번호 변경 토큰 검증 후 새 비밀번호 설정 및 계정 잠금 해제,비회원,종호 윤,No
연동 필요,인증/회원,인증/회원,비밀번호 변경,PATCH,/api/members/me/password,현재 비밀번호 확인 후 새 비밀번호로 변경,회원,종호 윤,No
연동 필요,인증/회원,인증/회원,프로필 이미지 수정,PATCH,/api/members/me/profile-image,프로필 이미지 업로드 및 변경,회원,종호 윤,No
연동 필요,인증/회원,인증/회원,회원 탈퇴,DELETE,/api/members/me,회원 탈퇴 처리 및 Refresh Token 삭제,회원,종호 윤,No
연동 필요,관리자,관리자,회원 목록/검색,GET,/api/admin/members?keyword={keyword}&page=0&size=20,"회원 목록 조회, 아이디/이름/이메일 기준 검색",관리자,종호 윤,No
연동 필요,관리자,관리자,회원 상세 조회,GET,/api/admin/members/{memberId},특정 회원 상세 정보 조회,관리자,종호 윤,No
연동 필요,관리자,관리자,회원 상태 변경,PATCH,/api/admin/members/{memberId}/status,"ACTIVE(정상), COMMUNITY_RESTRICTED(커뮤니티 제한), SUSPENDED(이용 정지), BANNED(영구 정지), WITHDRAWN(탈퇴)",관리자,종호 윤,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
,,,,,,,,,No
